url,bucket,label
"/","home","ELF Home Services"
"/about.html","about","About Us Our story"
"/diy.html","diy","DIY Projects Step-by-step guides"
"/emergency.html","emergency","Emergency Service Same-day urgent"
"/faq.html","faq","FAQs Common questions"
"/gallery.html","gallery","Project Gallery Our work"
"/guides/annual-home-maintenance-north-texas.html","guides","Annual Home Maintenance TX"
"/guides/appliance-maintenance-monthly-checklist.html","guides","Maintenance Monthly Appliance Maintenance"
"/guides/backsplash-trends-open-kitchen-texas.html","guides","Trends 2026 Backsplash Trends Open Kitchen TX"
"/guides/bathroom-designs-buyers-southlake.html","guides","Trends 2026 Bathroom Designs Buyers Southlake"
"/guides/bathroom-flooring-trends-mckinney-2026.html","guides","Trends 2026 Bathroom Flooring Trends 2026"
"/guides/bathroom-remodel-cost-north-texas.html","guides","Bathroom Remodel Cost TX"
"/guides/best-deck-materials-texas-summer.html","guides","Trends 2026 Best Deck Materials Texas"
"/guides/best-tile-kitchen-plano-frisco.html","guides","Trends 2026 Best Tile Styles Plano & Frisco"
"/guides/cabinet-colors-best-resale-value-dfw.html","guides","Trends 2026 Cabinet Colors Best Resale DFW"
"/guides/cabinet-painting-cost-vs-replacement.html","guides","Cost Guide Cabinet Painting vs Replacing"
"/guides/checklist-prepare-home-for-sale-dfw.html","guides","Prepare Home for Sale DFW"
"/guides/deck-maintenance-schedule-texas.html","guides","Maintenance Deck Maintenance Schedule Texas"
"/guides/deck-refinishing-cost-texas.html","guides","Cost Guide Deck Refinishing Cost Texas"
"/guides/deck-refinishing-diy-vs-professional.html","guides","DIY vs Pro Deck Refinishing: DIY vs Professional"
"/guides/drywall-repair-cost-dfw.html","guides","Cost Guide Drywall Repair Cost DFW"
"/guides/drywall-repair-diy-vs-professional.html","guides","DIY vs Pro Drywall Repair: DIY vs Professional"
"/guides/extend-life-kitchen-remodel.html","guides","Maintenance Extend Life of Kitchen Remodel"
"/guides/exterior-paint-maintenance-texas.html","guides","Maintenance Exterior Paint Maintenance Texas"
"/guides/fence-repair-yourself-what-works.html","guides","DIY vs Pro Fence Repair Yourself: What Works"
"/guides/foundation-cracks-drywall-repair-texas.html","guides","Foundation Cracks & Drywall TX"
"/guides/handyman-hourly-rate-dfw-2026.html","guides","Cost Guide Handyman Rates DFW 2026"
"/guides/hard-water-tile-stains-texas.html","guides","Texas Problem Hard Water Tile Stains Texas"
